NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
H1867114,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,8/15/2014 01:37:51,8/15/2014 01:37:51,8/15/2014 02:37:17,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
H1875214,98,DRIVING WHILE UNDER INFLUENCE,3669371,519958,8/15/2014 03:58:26,8/15/2014 03:58:26,8/15/2014 06:23:22,NAT,Necessary Action Taken,013XX Bordeaux St,70115
L0137514,98,DRIVING WHILE UNDER INFLUENCE,3677035,533881,12/2/2014 05:48:44,12/2/2014 05:48:44,12/2/2014 07:41:27,NAT,Necessary Action Taken,N Galvez St & Canal St (1I02),70119
H1997214,98,DRIVING WHILE UNDER INFLUENCE,3676211,522096,8/16/2014 01:11:05,8/16/2014 01:11:12,8/16/2014 03:03:50,NAT,Necessary Action Taken,Washington Ave & Prytania St,70115
H2003914,98,DRIVING WHILE UNDER INFLUENCE,3683676,539632,8/16/2014 02:08:03,,8/16/2014 02:09:12,NAT,Necessary Action Taken,I-10 E & Elysian Fields Exit,70116
H2006614,98,DRIVING WHILE UNDER INFLUENCE,3668181,540526,8/16/2014 02:43:49,,8/16/2014 04:40:54,NAT,Necessary Action Taken,050XX Canal St,
H2009014,98,DRIVING WHILE UNDER INFLUENCE,3682753,526239,8/16/2014 03:16:59,8/16/2014 03:16:59,8/16/2014 04:41:10,NAT,Necessary Action Taken,011XX Convention Center Blvd,70130
H2013014,98,DRIVING WHILE UNDER INFLUENCE,3665914,532546,8/16/2014 04:12:51,,8/16/2014 06:33:49,NAT,Necessary Action Taken,Walmsley Ave & S Carrollton Ave,70125
H2013314,98,DRIVING WHILE UNDER INFLUENCE,3690558,522536,8/16/2014 04:20:11,8/16/2014 04:20:11,8/16/2014 04:20:38,NAT,Necessary Action Taken,Westbank Expy & General De Gaulle Dr,70114
H2014514,98,DRIVING WHILE UNDER INFLUENCE,3674660,534135,8/16/2014 04:44:10,8/16/2014 04:44:10,8/16/2014 05:54:08,NAT,Necessary Action Taken,S Broad St & Banks St (1H02),70119
H2015114,98,DRIVING WHILE UNDER INFLUENCE,3671148,538852,8/16/2014 05:04:15,8/16/2014 06:53:44,8/16/2014 07:20:58,NAT,Necessary Action Taken,David St & Iberville St,70119
A0028214,98,DRIVING WHILE UNDER INFLUENCE,3689256,553078,1/1/2014 02:36:27,1/1/2014 02:43:40,1/1/2014 04:36:45,NAT,Necessary Action Taken,Press Dr & Mithra St (3V01),
D3566614,98,DRIVING WHILE UNDER INFLUENCE,3681020,523645,4/27/2014 01:11:41,4/27/2014 01:11:41,4/27/2014 02:31:54,NAT,Necessary Action Taken,Annunciation St (6B04) & Race St,70130
D3583414,98,DRIVING WHILE UNDER INFLUENCE,3666435,547078,4/27/2014 04:33:46,,4/27/2014 06:07:41,NAT,Necessary Action Taken,059XX West End Blvd,70124
H2128014,98,DRIVING WHILE UNDER INFLUENCE,3678770,521550,8/17/2014 01:25:19,,8/17/2014 05:44:18,NAT,Necessary Action Taken,Philip St & Constance St,70130
H2131814,98,DRIVING WHILE UNDER INFLUENCE,3674243,521515,8/17/2014 02:05:39,,8/17/2014 04:39:45,NAT,Necessary Action Taken,Louisiana Ave (6D01) & Saint Charles Ave,
H2138614,98,DRIVING WHILE UNDER INFLUENCE,3681746,521916,8/17/2014 03:49:09,8/17/2014 05:14:58,8/17/2014 05:15:13,NAT,Necessary Action Taken,017XX Religious St,70130
H2142514,98,DRIVING WHILE UNDER INFLUENCE,3679946,542573,8/17/2014 05:10:51,8/17/2014 05:10:51,8/17/2014 06:42:58,NAT,Necessary Action Taken,Paris Ave & Industry St (3X03),70119
H2236114,98,DRIVING WHILE UNDER INFLUENCE,3678077,521500,8/18/2014 01:28:43,8/18/2014 01:28:43,8/18/2014 02:25:26,NAT,Necessary Action Taken,Magazine St & 1st St,70130
H2236914,98,DRIVING WHILE UNDER INFLUENCE,3666159,543920,8/18/2014 01:42:24,8/18/2014 01:42:24,8/18/2014 04:04:15,NAT,Necessary Action Taken,I10 W & West End Blvd Exit,70124
J2372814,98,DRIVING WHILE UNDER INFLUENCE,3678637,531516,10/19/2014 06:10:46,,10/19/2014 12:01:36,DUP,DUPLICATE,Tulane Ave & Lasalle St (8J02),70112
D3651814,98,DRIVING WHILE UNDER INFLUENCE,3681664,520792,4/27/2014 18:15:48,4/27/2014 18:15:48,4/27/2014 23:13:17,NAT,Necessary Action Taken,018XX Tchoupitoulas St,70130
H2243214,98,DRIVING WHILE UNDER INFLUENCE,3689904,522586,8/18/2014 03:40:26,8/18/2014 03:40:43,8/18/2014 03:41:18,NAT,Necessary Action Taken,L B Landry Ave & Gen De Gaulle Dr (4A04),70114
H2246114,98,DRIVING WHILE UNDER INFLUENCE,3682096,523360,8/18/2014 04:47:47,8/18/2014 04:47:47,8/18/2014 06:44:09,NAT,Necessary Action Taken,015XX Religious St,70130
D3668314,98,DRIVING WHILE UNDER INFLUENCE,3678671,541884,4/27/2014 20:40:30,,4/27/2014 22:57:07,NAT,Necessary Action Taken,Gentilly Blvd & Aubry St (1C03),
